# r(m)   chord(m)   alpha_deg
0.04011736795   0.9452407934   14.9926645
0.04046878305   0.9450744415   14.97070106
0.04105218304   0.9447766334   14.93423856
0.04186414432   0.944327836   14.88349098
0.04289990196   0.9437207122   14.81875613
0.04415337772   0.9429748071   14.74041389
0.04561721572   0.94214944   14.64892402
0.04728282557   0.9413525747   14.5448234
0.04914043281   0.9407445664   14.42872295
0.05117913626   0.9405368967   14.30130398
0.05338697199   0.9409869955   14.16331425
0.05575098356   0.9423908095   14.01556353
0.058257298   0.9450748899   13.85891888
0.06089120726   0.9493895166   13.69429955
0.06363725451   0.9557039324   13.52267159
0.06647932486   0.9644042629   13.3450422
0.06940073991   0.9758942757   13.16245376
0.07238435563   0.9905988179   12.97597777
0.07541266298   1.008969581   12.78670856
0.07846789065   1.031492723   12.59575683
0.08153210935   1.058697811   12.40424317
0.08458733702   1.091167424   12.21329144
0.08761564437   1.129546566   12.02402223
0.09059926009   1.174550674   11.83754624
0.09352067514   1.226970384   11.6549578
0.09636274549   1.287670206   11.47732841
0.09910879274   1.357576777   11.30570045
0.101742702   1.437650188   11.14108112
0.1042490164   1.528828968   10.98443647
0.106613028   1.63193585   10.83668575
0.1088208637   1.747527967   10.69869602
0.1108595672   1.875673541   10.57127705
0.1127171744   2.015640977   10.4551766
0.1143827843   2.165501829   10.35107598
0.1158466223   2.321684545   10.25958611
0.117100098   2.478577364   10.18124387
0.1181358557   2.628359088   10.11650902
0.118947817   2.761299377   10.06576144
0.119531217   2.866742112   10.02929894
0.119882632   2.934788031   10.0073355
